"funnel_step","funnel_name","platform","age_range","download_date","user_count","ride_count"
"1","downloaded_app","ios","45-54","2021-03-03","1","0"
"1","downloaded_app","ios","45-54","2021-03-02","1","0"
"1","downloaded_app","ios","18-24","2021-04-15","3","0"
"1","downloaded_app","ios","45-54","2021-03-01","1","0"
"1","downloaded_app","ios","45-54","2021-02-28","3","0"
"1","downloaded_app","ios","18-24","2021-04-16","3","0"
"1","downloaded_app","android","25-34","2021-05-02","4","0"
"1","downloaded_app","ios","45-54","2021-02-27","1","0"
"1","downloaded_app","ios","45-54","2021-02-26","5","0"
"1","downloaded_app","ios","18-24","2021-04-17","2","0"
"1","downloaded_app","ios","45-54","2021-02-25","4","0"
"1","downloaded_app","ios","18-24","2021-04-18","4","0"
"1","downloaded_app","android","18-24","2021-04-13","2","0"
"1","downloaded_app","ios","45-54","2021-02-24","4","0"
"1","downloaded_app","ios","18-24","2021-04-19","3","0"
"1","downloaded_app","web","Unknown","2021-06-26","2","0"
"1","downloaded_app","ios","45-54","2021-02-23","3","0"
"1","downloaded_app","ios","45-54","2021-02-22","2","0"
"1","downloaded_app","ios","18-24","2021-04-20","4","0"
"1","downloaded_app","ios","45-54","2021-02-21","2","0"
"1","downloaded_app","ios","45-54","2021-02-20","3","0"
"1","downloaded_app","ios","18-24","2021-04-21","4","0"
"1","downloaded_app","web","Unknown","2021-06-24","1","0"
"1","downloaded_app","ios","45-54","2021-02-19","4","0"
"1","downloaded_app","ios","45-54","2021-02-18","3","0"
"1","downloaded_app","ios","18-24","2021-04-22","2","0"
"1","downloaded_app","ios","45-54","2021-02-17","6","0"
"1","downloaded_app","ios","45-54","2021-02-16","4","0"
"1","downloaded_app","ios","18-24","2021-04-23","1","0"
"1","downloaded_app","android","25-34","2021-05-03","3","0"
"1","downloaded_app","ios","18-24","2021-04-24","3","0"
"1","downloaded_app","ios","45-54","2021-02-15","3","0"
"1","downloaded_app","ios","18-24","2021-04-26","4","0"
"1","downloaded_app","ios","45-54","2021-02-14","5","0"
"1","downloaded_app","ios","45-54","2021-02-13","3","0"
"1","downloaded_app","ios","18-24","2021-04-27","1","0"
"1","downloaded_app","web","Unknown","2021-06-23","4","0"
"1","downloaded_app","ios","18-24","2021-04-28","3","0"
"1","downloaded_app","ios","45-54","2021-02-12","2","0"
"1","downloaded_app","ios","45-54","2021-02-11","6","0"
"1","downloaded_app","ios","18-24","2021-04-29","1","0"
"1","downloaded_app","web","Unknown","2021-06-22","1","0"
"1","downloaded_app","ios","18-24","2021-04-30","6","0"
"1","downloaded_app","ios","45-54","2021-02-10","3","0"
"1","downloaded_app","ios","45-54","2021-02-09","4","0"
"1","downloaded_app","ios","18-24","2021-05-02","1","0"
"1","downloaded_app","android","25-34","2021-05-04","2","0"
"1","downloaded_app","ios","45-54","2021-02-08","1","0"
"1","downloaded_app","ios","45-54","2021-02-07","5","0"
"1","downloaded_app","ios","18-24","2021-05-03","5","0"
"1","downloaded_app","ios","45-54","2021-02-06","2","0"
"1","downloaded_app","ios","45-54","2021-02-05","4","0"
"1","downloaded_app","ios","18-24","2021-05-04","2","0"
"1","downloaded_app","ios","45-54","2021-02-04","3","0"
"1","downloaded_app","ios","45-54","2021-02-03","6","0"
"1","downloaded_app","ios","18-24","2021-05-05","2","0"
"1","downloaded_app","web","Unknown","2021-06-20","2","0"
"1","downloaded_app","ios","45-54","2021-02-02","2","0"
"1","downloaded_app","ios","45-54","2021-02-01","3","0"
"1","downloaded_app","ios","18-24","2021-05-06","4","0"
"1","downloaded_app","ios","18-24","2021-05-07","4","0"
"1","downloaded_app","web","Unknown","2021-06-19","1","0"
"1","downloaded_app","ios","45-54","2021-01-31","4","0"
"1","downloaded_app","ios","18-24","2021-05-08","3","0"
"1","downloaded_app","ios","45-54","2021-01-30","1","0"
